0.1,07-11-2023,Aggiunta sezione "Introduzione",Matteo Rango,Amministratore
0.2,08-11-2023,Aggiunta sezione "Processi di Supporto" e "Processi Organizzativi",Matteo Rango,Amministratore
0.3,13-11-2023,Aggiunte sezioni "Oggetti Esterni al Repository" e "Tracciamento del Tempo Speso"; modificata organizzazione logica,Matteo Rango,Amministratore
0.4,14-11-2023,Aggiunta sezione "Processi Primari"; Chiarito workflow documentazione e codice,Matteo Rango,Amministratore
0.5,17-11-2023,Aggiunta specifica inserimento termini nel Glossario,Matteo Rango,Amministratore
0.6,24-11-2023,Aggiunta sezione "Analisi requisiti",Riccardo Costantin, Amministratore
0.7,24-11-2023,Aggiunta sezione "Ruoli progetto",Riccardo Costantin,Amministratore
0.8,26-11-2023,Aggiunta sezione "Fornitura",Riccardo Costantin,Amministratore
0.9,27-11-2023,Ampliata la sezione riguardante la documentazione,Riccardo Costantin,Amministratore 
0.10,29-11-2023,Aggiunta sezione "Progettazione" "Codifica" "Gestione Qualità" "Procedure",Riccardo Costantin,Amministratore 
0.11,04-12-2023,Aggiunte ulteriore dettaglio a sezioni "Introduzione" "Piano di Progetto" "Convenzioni stilistiche",Nancy Kalaj,Amministratore
0.12,06-12-2023,Aggiunte sezioni "Rapporti con la Proponente" "Analisi statica" "Repository",Nancy Kalaj,Amministratore
0.13,12-12-2023,Aggiunta sezione "Metriche per la qualità",Nancy Kalaj,Amministratore
0.14,12-12-2023,Aggiunta sezione "Diagrammi dei casi d'uso", Riccardo Toniolo, Amministratore
0.15,20-12-2023,Modifiche sezione verifica e creazione sezione controllo di versione e repository, Giacomo D'Ovidio, Amministratore
0.16,26-12-2023,Aggiunte sezioni "Stile di codifica" "Diagrammi UML delle classi" "Analisi dinamica",Riccardo Costantin, Amministratore
0.17,27-12-2023,Ampliata sezione "Gestione della configurazione" "Gestione organizzativa",Riccardo Costantin, Amministratore
0.18,21-12-2024,Aggiunta sezione "preventivo",Riccardo Costantin,Amministratore 
1.0,21-12-2024,Approvazione Finale,Nancy Kalaj,Responsabile
